Date,Machine_ID,Product_ID,Defect_Type,Defect_Qty,Scrap_Cost
2025-12-19,M304,P101,Solder Defect,11,946
2025-11-02,M402,P104,Assembly Defect,7,1169
2025-02-24,M204,P104,Calibration Error,6,1092
2025-07-02,M101,P103,Solder Defect,12,1728
2025-02-03,M404,P102,Dimension Error,7,812
2025-03-14,M204,P103,Calibration Error,8,1496
2025-12-26,M404,P104,Solder Defect,7,910
2025-12-14,M202,P102,Solder Defect,8,920
2025-09-22,M103,P104,Solder Defect,10,2140
2025-11-15,M204,P103,Assembly Defect,6,1158
2025-12-16,M303,P102,Solder Defect,9,882
2025-03-24,M403,P103,Dimension Error,2,284
2025-09-12,M203,P101,Solder Defect,8,1264
2025-11-07,M203,P102,Solder Defect,5,420
2025-10-01,M401,P102,Calibration Error,12,1116
2025-08-10,M303,P103,Solder Defect,7,602
2025-05-01,M104,P101,Calibration Error,8,1488
2025-06-02,M304,P101,Solder Defect,9,819
2025-03-08,M103,P102,Assembly Defect,10,990
2025-12-28,M301,P101,Solder Defect,7,1358
2025-01-24,M201,P103,Dimension Error,7,672
2025-08-06,M404,P104,Calibration Error,11,1397
2025-02-02,M302,P104,Solder Defect,20,5000
2025-03-07,M101,P103,Calibration Error,10,2440
2025-06-09,M404,P103,Calibration Error,8,1056
2025-06-07,M302,P102,Solder Defect,18,3330
2025-07-04,M103,P101,Solder Defect,3,465
2025-07-22,M101,P101,Solder Defect,10,2410
2025-05-30,M104,P102,Solder Defect,6,840
2025-06-22,M304,P103,Dimension Error,9,2034
2025-06-05,M201,P101,Dimension Error,3,351
2025-12-17,M201,P102,Assembly Defect,8,1504
2025-12-21,M403,P102,Solder Defect,8,1640
2025-07-13,M103,P104,Dimension Error,10,2050
2025-08-05,M404,P104,Assembly Defect,4,384
2025-04-22,M404,P104,Solder Defect,3,336
2025-04-20,M103,P102,Dimension Error,4,976
2025-11-22,M202,P101,Assembly Defect,10,2090
2025-09-01,M204,P101,Assembly Defect,4,688
2025-03-01,M301,P103,Assembly Defect,6,1248
2025-07-29,M103,P104,Calibration Error,6,906
2025-02-28,M101,P104,Dimension Error,6,954
2025-12-13,M102,P102,Solder Defect,12,2028
2025-09-06,M303,P103,Calibration Error,7,1575
2025-02-24,M303,P102,Dimension Error,9,1035
2025-01-17,M304,P103,Assembly Defect,7,1631
2025-04-08,M204,P102,Dimension Error,3,300
2025-12-12,M303,P103,Solder Defect,9,1665
2025-04-27,M303,P104,Dimension Error,4,328
2025-03-13,M102,P104,Solder Defect,6,1020
2025-04-11,M403,P103,Calibration Error,6,564
2025-12-18,M304,P103,Assembly Defect,11,1826
2025-04-23,M303,P103,Assembly Defect,3,267
2025-08-19,M402,P104,Dimension Error,10,2080
2025-09-27,M202,P102,Solder Defect,12,1056
2025-01-20,M403,P102,Solder Defect,7,1050
2025-01-12,M302,P104,Solder Defect,17,2108
2025-06-01,M401,P101,Dimension Error,8,1384
2025-12-09,M404,P101,Assembly Defect,11,1144
2025-01-12,M302,P104,Dimension Error,18,1800
2025-09-25,M402,P103,Assembly Defect,8,944
2025-08-10,M201,P103,Assembly Defect,10,2070
2025-01-31,M301,P104,Dimension Error,8,808
2025-02-28,M101,P101,Dimension Error,8,1592
2025-01-08,M204,P102,Calibration Error,4,652
2025-08-26,M102,P103,Assembly Defect,5,685
2025-01-15,M403,P102,Calibration Error,6,948
2025-07-12,M402,P104,Assembly Defect,15,3495
2025-12-14,M102,P102,Solder Defect,8,1168
2025-04-27,M104,P104,Dimension Error,7,1673
2025-11-01,M201,P103,Dimension Error,5,1130
2025-03-24,M302,P104,Solder Defect,19,4085
2025-03-04,M104,P102,Solder Defect,9,927
2025-09-19,M402,P103,Calibration Error,11,1254
2025-05-07,M103,P103,Assembly Defect,6,1062
2025-07-10,M104,P101,Calibration Error,7,1386
2025-07-08,M103,P104,Solder Defect,7,595
2025-05-06,M301,P102,Dimension Error,9,1341
2025-04-12,M201,P103,Dimension Error,4,800
2025-06-01,M101,P103,Calibration Error,8,1416
2025-03-12,M303,P101,Calibration Error,13,1716
2025-03-05,M103,P103,Assembly Defect,10,1070
2025-11-23,M103,P101,Solder Defect,1,243
2025-03-12,M101,P104,Solder Defect,6,1230
2025-02-22,M204,P104,Calibration Error,10,930
2025-01-17,M304,P102,Calibration Error,4,396
2025-12-12,M302,P103,Calibration Error,26,4888
2025-08-13,M204,P103,Calibration Error,11,2453
2025-05-16,M201,P103,Dimension Error,11,1210
2025-03-05,M402,P101,Assembly Defect,9,2151
2025-10-20,M302,P103,Calibration Error,21,2121
2025-10-01,M301,P103,Assembly Defect,9,1197
2025-08-13,M303,P102,Dimension Error,17,3655
2025-03-07,M304,P101,Solder Defect,9,1341
2025-11-10,M302,P101,Calibration Error,21,2394
2025-04-10,M304,P103,Calibration Error,7,1183
2025-09-19,M102,P102,Assembly Defect,10,2450
2025-03-29,M101,P103,Solder Defect,10,2060
2025-06-11,M102,P104,Solder Defect,10,2290
2025-12-18,M403,P102,Assembly Defect,4,584
2025-05-31,M201,P103,Calibration Error,4,604
2025-12-27,M404,P104,Dimension Error,5,1015
2025-05-10,M302,P103,Dimension Error,14,3220
2025-05-06,M102,P103,Dimension Error,5,760
2025-01-28,M102,P104,Solder Defect,6,1068
2025-10-18,M201,P104,Assembly Defect,6,1314
2025-08-11,M201,P104,Assembly Defect,13,2249
2025-04-17,M404,P104,Calibration Error,7,1561
2025-06-30,M302,P104,Solder Defect,25,2625
2025-03-13,M104,P101,Assembly Defect,9,774
2025-08-28,M202,P103,Assembly Defect,9,1530
2025-04-12,M402,P101,Solder Defect,3,573
2025-01-31,M204,P102,Assembly Defect,12,2388
2025-01-16,M403,P102,Dimension Error,4,456
2025-07-04,M104,P104,Assembly Defect,10,1310
2025-03-05,M401,P101,Calibration Error,3,339
2025-07-10,M102,P102,Assembly Defect,6,858
2025-12-12,M301,P103,Calibration Error,6,1182
2025-10-13,M304,P102,Calibration Error,6,1134
2025-02-16,M404,P103,Dimension Error,5,735
2025-06-22,M302,P103,Assembly Defect,15,3135
2025-03-01,M202,P104,Calibration Error,11,1177
2025-09-10,M302,P102,Dimension Error,14,3010
2025-04-28,M201,P102,Assembly Defect,10,860
2025-03-24,M203,P102,Dimension Error,5,1250
2025-03-08,M404,P104,Solder Defect,9,1782
2025-07-29,M301,P101,Assembly Defect,14,1260
2025-05-23,M401,P103,Assembly Defect,8,840
2025-02-11,M202,P104,Calibration Error,10,2090
2025-02-10,M104,P101,Assembly Defect,6,486
2025-03-11,M201,P102,Solder Defect,16,3232
2025-11-29,M302,P103,Assembly Defect,17,3638
2025-03-11,M403,P104,Dimension Error,10,2030
2025-05-20,M202,P102,Calibration Error,9,1449
2025-12-24,M301,P102,Calibration Error,8,1944
2025-08-22,M203,P102,Dimension Error,9,1917
2025-04-21,M402,P102,Solder Defect,10,1680
2025-03-03,M102,P101,Calibration Error,7,1239
2025-01-01,M404,P104,Calibration Error,6,582
2025-05-12,M203,P103,Dimension Error,4,900
2025-12-08,M401,P103,Calibration Error,10,2070
2025-02-04,M304,P103,Dimension Error,6,858
2025-02-27,M101,P103,Calibration Error,4,324
2025-10-14,M203,P101,Dimension Error,13,1768
2025-01-16,M304,P101,Dimension Error,5,1195
2025-04-18,M204,P104,Dimension Error,5,690
2025-02-23,M201,P104,Calibration Error,7,1050
2025-02-13,M302,P103,Solder Defect,15,2940
2025-12-09,M304,P101,Calibration Error,5,925
2025-10-06,M101,P101,Solder Defect,9,1800
2025-03-19,M202,P101,Dimension Error,12,1212
2025-03-22,M104,P103,Assembly Defect,9,1134
2025-05-06,M303,P104,Solder Defect,6,678
2025-05-01,M203,P101,Assembly Defect,6,1428
2025-11-16,M403,P103,Solder Defect,9,1773
2025-07-04,M403,P101,Calibration Error,8,976
2025-04-11,M101,P101,Dimension Error,9,720
2025-11-06,M302,P101,Dimension Error,21,1743
2025-03-28,M301,P101,Calibration Error,8,688
2025-01-25,M403,P104,Dimension Error,6,1476
2025-06-28,M404,P103,Assembly Defect,5,1090
2025-06-23,M101,P103,Solder Defect,8,1256
2025-06-21,M102,P103,Dimension Error,10,1250
2025-05-08,M401,P104,Assembly Defect,8,1440
2025-03-07,M403,P102,Dimension Error,4,664
2025-02-23,M104,P103,Calibration Error,6,540
2025-06-07,M204,P103,Assembly Defect,11,1001
2025-12-16,M301,P104,Calibration Error,9,963
2025-09-07,M401,P103,Calibration Error,9,1395
2025-11-06,M203,P103,Solder Defect,7,1316
2025-07-13,M403,P103,Solder Defect,6,1158
2025-10-12,M402,P103,Assembly Defect,9,1746
2025-05-19,M103,P101,Solder Defect,10,1810
2025-11-27,M402,P104,Calibration Error,7,1323
2025-05-29,M103,P104,Calibration Error,5,1235
2025-10-24,M403,P103,Calibration Error,6,1176
2025-08-31,M102,P101,Calibration Error,8,1208
2025-10-22,M203,P101,Dimension Error,8,1184
2025-07-02,M201,P103,Calibration Error,8,1536
2025-10-07,M101,P103,Dimension Error,4,320
2025-05-30,M102,P104,Calibration Error,8,1432
2025-06-26,M103,P104,Assembly Defect,9,1620
2025-10-24,M202,P104,Calibration Error,11,1012
2025-04-23,M202,P104,Calibration Error,4,668
2025-09-12,M104,P102,Assembly Defect,6,1074
2025-09-05,M202,P101,Calibration Error,9,1287
2025-01-03,M101,P103,Dimension Error,9,2232
2025-09-17,M304,P101,Assembly Defect,13,1807
2025-03-14,M302,P102,Assembly Defect,18,3186
2025-01-11,M101,P101,Assembly Defect,11,2255
2025-10-03,M203,P104,Solder Defect,9,1188
2025-01-16,M203,P103,Solder Defect,5,710
2025-11-23,M401,P103,Calibration Error,6,672
2025-10-29,M303,P104,Assembly Defect,9,2133
2025-12-14,M403,P104,Solder Defect,6,1242
2025-01-23,M402,P101,Solder Defect,17,3519
2025-05-20,M401,P101,Assembly Defect,6,846
2025-05-07,M403,P101,Solder Defect,10,1510
2025-10-30,M103,P104,Assembly Defect,9,1368
2025-04-11,M401,P104,Solder Defect,7,1743
2025-11-23,M401,P102,Dimension Error,6,1146
2025-04-06,M103,P103,Dimension Error,12,2460
2025-06-04,M101,P103,Assembly Defect,7,1225
2025-09-14,M402,P104,Solder Defect,4,856
2025-03-18,M302,P104,Assembly Defect,22,3300
2025-03-29,M404,P103,Calibration Error,8,1920
2025-02-02,M301,P101,Dimension Error,7,868
2025-08-03,M203,P103,Calibration Error,5,505
2025-11-21,M202,P102,Calibration Error,7,952
2025-10-23,M202,P101,Assembly Defect,13,2912
2025-01-13,M101,P104,Solder Defect,11,1474
2025-03-12,M101,P103,Assembly Defect,11,2310
2025-05-13,M304,P104,Dimension Error,10,2030
2025-02-06,M304,P103,Solder Defect,7,1386
2025-11-29,M401,P104,Solder Defect,5,775
2025-06-11,M402,P102,Solder Defect,8,840
2025-07-25,M302,P103,Dimension Error,25,4550
2025-09-09,M403,P104,Assembly Defect,7,1407
2025-08-10,M401,P104,Assembly Defect,8,1624
2025-07-21,M102,P103,Calibration Error,9,738
2025-09-14,M303,P102,Dimension Error,3,477
2025-06-18,M303,P102,Solder Defect,14,2870
2025-07-06,M102,P103,Dimension Error,9,1935
