Date,Machine_ID,Temperature_C,Vibration_mm_s,Downtime_Min,Breakdown_Flag
2025-01-05,M302,88.9,10.2,79,0
2025-01-05,M303,63.6,2.19,6,0
2025-01-05,M304,75.5,3.42,47,0
2025-01-05,M401,76.0,5.09,15,0
2025-01-05,M402,63.9,2.91,57,0
2025-01-05,M403,61.6,4.24,18,0
2025-01-05,M404,75.3,6.43,36,0
2025-01-06,M101,71.1,3.28,27,0
2025-01-06,M102,74.5,4.77,7,0
2025-01-06,M103,56.9,4.62,10,0
2025-01-06,M104,61.9,5.11,61,0
2025-01-06,M201,60.4,4.67,41,0
2025-01-06,M202,73.9,4.02,12,0
2025-01-06,M203,62.9,5.83,27,0
2025-01-06,M204,62.1,4.06,15,0
2025-01-06,M301,70.9,4.4,33,0
2025-01-06,M302,79.1,9.05,88,0
2025-01-06,M303,64.3,3.15,30,0
2025-01-06,M304,62.3,4.73,37,0
2025-01-06,M401,77.2,4.59,0,0
2025-01-06,M402,76.0,3.14,17,0
2025-01-06,M403,72.3,4.27,7,0
2025-01-06,M404,64.9,5.19,15,0
2025-01-07,M101,56.6,4.06,21,0
2025-01-07,M102,62.6,4.32,51,0
2025-01-07,M103,71.7,3.92,7,0
2025-01-07,M104,60.5,5.7,42,0
2025-01-07,M201,71.1,5.0,46,0
2025-01-07,M202,69.3,4.98,17,0
2025-01-07,M203,60.5,5.74,29,0
2025-01-07,M204,69.9,4.04,43,0
2025-01-07,M301,75.1,4.62,16,0
2025-01-07,M302,81.2,10.46,74,0
2025-01-07,M303,75.0,4.54,46,0
2025-01-07,M304,57.9,5.04,3,0
2025-01-07,M401,67.5,4.74,38,0
2025-01-07,M402,60.7,6.41,8,0
2025-01-07,M403,71.2,3.84,14,0
2025-01-07,M404,73.3,4.08,1,0
2025-01-08,M101,58.3,2.74,8,0
2025-01-08,M102,79.5,4.71,27,0
2025-01-08,M103,69.7,5.41,46,0
2025-01-08,M104,71.6,3.52,26,0
2025-01-08,M201,70.9,5.2,17,0
2025-01-08,M202,61.3,3.57,9,0
2025-01-08,M203,65.5,4.52,7,0
2025-01-08,M204,65.0,5.4,9,0
2025-01-08,M301,65.0,4.57,28,0
2025-01-08,M302,78.6,10.88,74,0
2025-01-08,M303,64.6,4.81,19,0
2025-01-08,M304,69.2,4.05,14,0
2025-01-08,M401,72.1,3.09,29,0
2025-01-08,M402,68.1,3.92,53,0
2025-01-08,M403,68.4,2.94,20,0
2025-01-08,M404,61.9,4.95,21,0
2025-01-09,M101,64.7,3.41,15,0
2025-01-09,M102,72.0,3.37,14,0
2025-01-09,M103,75.8,6.15,36,0
2025-01-09,M104,66.0,5.47,37,0
2025-01-09,M201,66.7,4.64,18,0
2025-01-09,M202,70.5,4.57,35,0
2025-01-09,M203,70.6,4.34,25,0
2025-01-09,M204,61.5,5.17,2,0
2025-01-09,M301,65.5,5.61,24,0
2025-01-09,M302,83.2,9.34,85,0
2025-01-09,M303,71.1,4.9,28,0
2025-01-09,M304,82.7,3.93,10,0
2025-01-09,M401,72.1,4.2,22,0
2025-01-09,M402,62.0,6.1,16,0
2025-01-09,M403,61.8,3.26,48,0
2025-01-09,M404,59.3,4.47,10,0
2025-01-10,M101,63.9,4.21,10,0
2025-01-10,M102,73.6,6.51,31,0
2025-01-10,M103,65.4,5.32,23,0
2025-01-10,M104,64.6,4.75,27,0
2025-01-10,M201,67.0,4.63,14,0
2025-01-10,M202,53.9,4.16,5,0
2025-01-10,M203,66.1,3.56,52,0
2025-01-10,M204,62.0,5.28,0,0
2025-01-10,M301,82.5,3.15,21,0
2025-01-10,M302,81.5,13.05,126,1
2025-01-10,M303,66.1,3.96,5,0
2025-01-10,M304,60.2,4.58,55,0
2025-01-10,M401,65.4,4.56,0,0
2025-01-10,M402,71.5,4.81,32,0
2025-01-10,M403,68.3,4.9,33,0
2025-01-10,M404,64.7,3.45,0,0
2025-01-11,M101,67.4,4.37,43,0
2025-01-11,M102,66.4,4.3,30,0
2025-01-11,M103,81.1,5.31,54,0
2025-01-11,M104,77.5,4.6,30,0
2025-01-11,M201,61.2,4.35,35,0
2025-01-11,M202,63.7,4.19,42,0
2025-01-11,M203,80.0,4.37,1,0
2025-01-11,M204,71.0,5.76,27,0
2025-01-11,M301,64.9,4.9,45,0
2025-01-11,M302,76.9,7.61,73,0
2025-01-11,M303,55.7,4.65,0,0
2025-01-11,M304,68.7,6.67,34,0
2025-01-11,M401,74.0,4.86,27,0
2025-01-11,M402,69.4,3.87,27,0
2025-01-11,M403,65.3,3.45,44,0
2025-01-11,M404,77.8,5.52,26,0
2025-01-12,M101,62.6,3.46,8,0
2025-01-12,M102,77.6,4.63,48,0
2025-01-12,M103,48.7,2.19,28,0
2025-01-12,M104,67.8,5.3,41,0
2025-01-12,M201,63.3,4.58,26,0
2025-01-12,M202,73.6,4.93,21,0
2025-01-12,M203,58.8,4.39,12,0
2025-01-12,M204,65.3,2.64,44,0
2025-01-12,M301,64.6,4.84,51,0
2025-01-12,M302,85.1,13.83,116,1
2025-01-12,M303,69.8,5.95,22,0
2025-01-12,M304,75.2,4.2,5,0
2025-01-12,M401,68.0,5.03,25,0
2025-01-12,M402,70.0,2.99,10,0
2025-01-12,M403,67.4,3.97,21,0
2025-01-12,M404,58.3,3.82,10,0
2025-01-13,M101,58.1,4.35,34,0
2025-01-13,M102,62.1,4.48,29,0
2025-01-13,M103,67.4,5.92,19,0
2025-01-13,M104,74.1,4.34,0,0
2025-01-13,M201,71.6,3.54,21,0
2025-01-13,M202,65.3,5.96,8,0
2025-01-13,M203,72.0,5.88,31,0
2025-01-13,M204,67.0,3.45,19,0
2025-01-13,M301,64.9,3.64,0,0
2025-01-13,M302,88.4,11.27,69,0
2025-01-13,M303,61.6,4.71,39,0
2025-01-13,M304,69.7,5.54,41,0
2025-01-13,M401,71.7,3.69,24,0
2025-01-13,M402,74.1,4.73,34,0
2025-01-13,M403,67.8,3.85,7,0
2025-01-13,M404,61.6,4.17,36,0
2025-01-14,M101,68.0,5.52,45,0
2025-01-14,M102,64.7,4.56,13,0
2025-01-14,M103,67.6,4.09,46,0
2025-01-14,M104,73.0,3.18,28,0
2025-01-14,M201,72.7,4.47,47,0
2025-01-14,M202,69.4,3.45,16,0
2025-01-14,M203,57.4,2.83,30,0
2025-01-14,M204,71.0,5.52,38,0
2025-01-14,M301,64.9,3.82,27,0
2025-01-14,M302,85.8,11.07,114,1
2025-01-14,M303,66.3,5.16,0,0
2025-01-14,M304,63.8,3.44,22,0
2025-01-14,M401,70.9,4.12,40,0
2025-01-14,M402,68.3,5.51,0,0
2025-01-14,M403,58.7,5.47,47,0
2025-01-14,M404,66.8,4.15,40,0
2025-01-15,M101,62.3,3.59,1,0
2025-01-15,M102,73.4,2.81,25,0
2025-01-15,M103,73.1,3.24,28,0
2025-01-15,M104,70.3,4.5,0,0
2025-01-15,M201,64.7,4.45,22,0
2025-01-15,M202,82.3,4.59,32,0
2025-01-15,M203,70.1,4.61,47,0
2025-01-15,M204,60.7,4.4,27,0
2025-01-15,M301,62.8,4.81,0,0
2025-01-15,M302,86.9,10.65,88,0
2025-01-15,M303,63.0,3.17,31,0
2025-01-15,M304,70.6,4.33,18,0
2025-01-15,M401,70.1,5.05,38,0
2025-01-15,M402,58.9,4.67,52,0
2025-01-15,M403,71.4,6.2,20,0
2025-01-15,M404,70.9,4.17,14,0
2025-01-16,M101,64.7,5.54,32,0
2025-01-16,M102,73.6,8.11,42,0
2025-01-16,M103,66.3,4.15,15,0
2025-01-16,M104,61.6,5.58,10,0
2025-01-16,M201,63.4,5.04,29,0
2025-01-16,M202,70.1,3.41,46,0
2025-01-16,M203,65.8,3.14,5,0
2025-01-16,M204,74.8,5.23,33,0
2025-01-16,M301,76.6,3.01,28,0
2025-01-16,M302,82.2,11.91,105,1
2025-01-16,M303,69.1,3.72,11,0
2025-01-16,M304,61.8,4.29,0,0
2025-01-16,M401,67.9,4.18,35,0
2025-01-16,M402,68.1,4.43,10,0
2025-01-16,M403,59.0,5.82,27,0
2025-01-16,M404,66.7,3.25,33,0
2025-01-17,M101,71.0,4.43,15,0
2025-01-17,M102,62.9,4.2,22,0
2025-01-17,M103,71.6,5.42,21,0
2025-01-17,M104,75.7,3.31,51,0
2025-01-17,M201,70.9,2.59,12,0
2025-01-17,M202,70.6,3.18,23,0
2025-01-17,M203,63.8,4.32,33,0
2025-01-17,M204,73.9,2.26,39,0
2025-01-17,M301,72.5,7.0,0,0
2025-01-17,M302,79.2,9.57,100,1
2025-01-17,M303,78.5,4.8,28,0
2025-01-17,M304,74.3,6.31,16,0
2025-01-17,M401,63.8,4.85,3,0
2025-01-17,M402,74.0,6.84,30,0
2025-01-17,M403,68.2,4.29,16,0
2025-01-17,M404,62.0,4.23,2,0
2025-01-18,M101,68.2,5.21,19,0
2025-01-18,M102,74.9,4.73,29,0
2025-01-18,M103,72.5,3.4,33,0
2025-01-18,M104,69.5,5.49,3,0
2025-01-18,M201,70.9,6.22,23,0
2025-01-18,M202,79.0,5.28,9,0
2025-01-18,M203,58.0,5.0,32,0
2025-01-18,M204,77.7,5.29,32,0
2025-01-18,M301,63.9,4.19,10,0
2025-01-18,M302,80.0,12.99,81,0
2025-01-18,M303,77.9,2.68,35,0
2025-01-18,M304,70.6,3.86,23,0
2025-01-18,M401,69.2,6.22,27,0
2025-01-18,M402,59.3,4.68,3,0
2025-01-18,M403,66.0,3.69,40,0
2025-01-18,M404,67.2,3.97,16,0
2025-01-19,M101,63.3,6.2,22,0
2025-01-19,M102,65.0,4.53,51,0
2025-01-19,M103,68.8,3.32,17,0
2025-01-19,M104,61.7,5.19,40,0
2025-01-19,M201,72.1,3.55,20,0
2025-01-19,M202,64.4,3.24,15,0
2025-01-19,M203,73.4,5.44,32,0
2025-01-19,M204,60.9,5.84,20,0
2025-01-19,M301,65.2,3.32,0,0
2025-01-19,M302,76.8,10.26,82,0
2025-01-19,M303,61.2,5.53,13,0
2025-01-19,M304,57.7,5.32,33,0
2025-01-19,M401,65.8,5.36,13,0
2025-01-19,M402,70.7,4.69,33,0
2025-01-19,M403,70.5,4.45,18,0
2025-01-19,M404,71.5,4.38,52,0
2025-01-20,M101,68.3,3.58,17,0
2025-01-20,M102,65.6,5.8,46,0
2025-01-20,M103,69.5,3.57,9,0
2025-01-20,M104,58.4,6.8,33,0
2025-01-20,M201,63.1,3.77,15,0
2025-01-20,M202,72.1,4.11,30,0
2025-01-20,M203,56.3,5.59,32,0
2025-01-20,M204,68.9,3.44,22,0
2025-01-20,M301,68.3,5.36,25,0
2025-01-20,M302,81.8,12.69,83,0
2025-01-20,M303,61.4,4.47,44,0
2025-01-20,M304,64.1,6.28,7,0
2025-01-20,M401,59.6,5.24,40,0
2025-01-20,M402,82.1,3.41,29,0
2025-01-20,M403,53.5,5.75,21,0
2025-01-20,M404,65.7,4.58,30,0
2025-01-21,M101,62.3,3.65,27,0
2025-01-21,M102,71.9,6.37,47,0
2025-01-21,M103,67.9,4.59,15,0
2025-01-21,M104,69.2,6.14,38,0
2025-01-21,M201,70.4,5.42,33,0
2025-01-21,M202,73.2,5.48,32,0
2025-01-21,M203,64.7,4.66,21,0
2025-01-21,M204,62.5,3.83,0,0
2025-01-21,M301,77.4,3.56,17,0
2025-01-21,M302,80.9,13.38,73,0
2025-01-21,M303,76.1,4.39,42,0
2025-01-21,M304,69.1,4.97,43,0
2025-01-21,M401,70.9,4.33,42,0
2025-01-21,M402,66.7,3.76,39,0
2025-01-21,M403,67.5,4.17,38,0
2025-01-21,M404,63.3,4.89,34,0
2025-01-22,M101,62.3,4.88,45,0
2025-01-22,M102,74.1,4.95,12,0
2025-01-22,M103,81.3,5.51,19,0
2025-01-22,M104,71.9,5.61,35,0
2025-01-22,M201,69.2,5.48,10,0
2025-01-22,M202,70.8,4.88,18,0
2025-01-22,M203,67.7,5.73,18,0
2025-01-22,M204,72.7,3.68,0,0
2025-01-22,M301,62.1,4.47,25,0
2025-01-22,M302,75.8,11.04,89,0
2025-01-22,M303,62.4,5.12,6,0
2025-01-22,M304,65.9,3.45,22,0
2025-01-22,M401,74.0,4.5,11,0
2025-01-22,M402,65.1,5.33,22,0
2025-01-22,M403,59.6,3.92,20,0
2025-01-22,M404,69.8,3.54,37,0
2025-01-23,M101,65.8,6.13,20,0
2025-01-23,M102,64.0,4.09,20,0
2025-01-23,M103,64.9,4.77,25,0
2025-01-23,M104,75.0,5.75,53,0
2025-01-23,M201,79.1,5.06,36,0
2025-01-23,M202,70.4,5.26,16,0
2025-01-23,M203,66.3,5.13,10,0
2025-01-23,M204,60.5,5.6,0,0
2025-01-23,M301,59.9,4.32,30,0
2025-01-23,M302,78.0,12.41,73,0
2025-01-23,M303,60.9,5.35,30,0
2025-01-23,M304,62.5,3.7,48,0
2025-01-23,M401,68.0,5.43,17,0
2025-01-23,M402,59.2,4.79,0,0
2025-01-23,M403,74.0,4.59,14,0
2025-01-23,M404,59.7,2.89,33,0
2025-01-24,M101,79.4,4.15,9,0
2025-01-24,M102,57.6,3.16,23,0
2025-01-24,M103,68.8,6.1,31,0
2025-01-24,M104,69.3,5.97,27,0
2025-01-24,M201,65.0,4.63,33,0
2025-01-24,M202,69.7,4.29,37,0
2025-01-24,M203,77.0,4.39,3,0
2025-01-24,M204,69.1,3.84,39,0
2025-01-24,M301,69.5,3.21,43,0
2025-01-24,M302,75.6,8.36,74,0
2025-01-24,M303,64.4,4.13,32,0
2025-01-24,M304,73.3,5.36,12,0
2025-01-24,M401,65.9,5.81,40,0
2025-01-24,M402,67.2,2.37,33,0
2025-01-24,M403,76.6,3.52,16,0
2025-01-24,M404,69.3,3.36,32,0
2025-01-25,M101,77.8,4.14,34,0
2025-01-25,M102,71.7,4.2,21,0
2025-01-25,M103,66.2,5.42,23,0
2025-01-25,M104,61.2,2.28,13,0
2025-01-25,M201,66.3,5.18,21,0
2025-01-25,M202,77.3,4.49,11,0
2025-01-25,M203,72.1,5.8,49,0
2025-01-25,M204,63.9,4.47,49,0
2025-01-25,M301,71.1,3.63,15,0
2025-01-25,M302,77.3,11.72,54,0
2025-01-25,M303,70.2,5.72,42,0
2025-01-25,M304,63.4,4.78,17,0
2025-01-25,M401,69.5,4.14,2,0
2025-01-25,M402,77.4,4.55,10,0
2025-01-25,M403,65.1,5.11,35,0
2025-01-25,M404,68.9,4.5,34,0
2025-01-26,M101,65.0,6.1,21,0
2025-01-26,M102,73.5,5.13,6,0
2025-01-26,M103,64.1,3.2,34,0
2025-01-26,M104,68.9,4.98,38,0
2025-01-26,M201,63.6,3.3,11,0
2025-01-26,M202,68.7,2.6,41,0
2025-01-26,M203,63.8,3.36,46,0
2025-01-26,M204,55.9,4.75,12,0
2025-01-26,M301,73.4,3.14,18,0
2025-01-26,M302,81.4,12.91,89,0
2025-01-26,M303,74.9,5.63,43,0
2025-01-26,M304,73.9,4.25,9,0
2025-01-26,M401,68.2,3.13,54,0
2025-01-26,M402,60.3,3.44,6,0
2025-01-26,M403,60.6,4.64,24,0
2025-01-26,M404,71.5,4.14,4,0
2025-01-27,M101,60.3,4.45,19,0
2025-01-27,M102,69.9,4.2,18,0
2025-01-27,M103,65.1,4.67,36,0
2025-01-27,M104,62.4,2.64,39,0
2025-01-27,M201,69.8,3.39,24,0
2025-01-27,M202,65.7,3.97,16,0
2025-01-27,M203,62.2,5.92,24,0
2025-01-27,M204,69.4,3.54,21,0
2025-01-27,M301,62.9,4.98,26,0
2025-01-27,M302,86.4,10.3,96,1
2025-01-27,M303,60.1,4.31,18,0
2025-01-27,M304,83.4,5.03,44,0
2025-01-27,M401,62.5,4.89,24,0
2025-01-27,M402,82.1,2.62,27,0
2025-01-27,M403,69.5,5.77,41,0
2025-01-27,M404,72.6,4.86,0,0
2025-01-28,M101,66.1,3.92,14,0
2025-01-28,M102,68.1,4.14,14,0
2025-01-28,M103,59.1,3.94,26,0
2025-01-28,M104,64.2,4.29,8,0
2025-01-28,M201,63.1,4.64,0,0
2025-01-28,M202,78.7,5.07,3,0
2025-01-28,M203,63.3,5.7,17,0
2025-01-28,M204,56.0,4.7,3,0
2025-01-28,M301,68.6,4.04,22,0
2025-01-28,M302,76.2,9.29,94,1
2025-01-28,M303,61.7,3.3,26,0
2025-01-28,M304,62.8,4.37,14,0
2025-01-28,M401,60.5,2.4,27,0
2025-01-28,M402,66.8,4.33,17,0
2025-01-28,M403,63.6,4.35,27,0
2025-01-28,M404,66.6,5.74,0,0
2025-01-29,M101,62.2,5.34,32,0
2025-01-29,M102,71.6,3.69,9,0
2025-01-29,M103,69.6,3.76,28,0
2025-01-29,M104,63.1,6.87,29,0
2025-01-29,M201,67.3,3.04,20,0
2025-01-29,M202,69.8,2.29,14,0
2025-01-29,M203,58.6,3.97,39,0
2025-01-29,M204,73.7,5.18,38,0
2025-01-29,M301,64.0,2.93,29,0
2025-01-29,M302,76.2,12.38,95,1
2025-01-29,M303,67.6,3.78,19,0
2025-01-29,M304,68.3,5.51,35,0
2025-01-29,M401,75.8,4.24,0,0
2025-01-29,M402,69.2,4.05,48,0
2025-01-29,M403,59.4,6.53,34,0
2025-01-29,M404,62.8,3.89,22,0
2025-01-30,M101,68.0,4.12,4,0
2025-01-30,M102,79.6,4.74,9,0
2025-01-30,M103,58.2,4.56,12,0
2025-01-30,M104,72.7,4.56,21,0
2025-01-30,M201,78.0,4.36,7,0
2025-01-30,M202,69.0,4.94,21,0
2025-01-30,M203,68.9,4.97,3,0
2025-01-30,M204,63.6,4.05,32,0
2025-01-30,M301,75.4,3.9,49,0
2025-01-30,M302,77.3,9.94,64,0
2025-01-30,M303,59.9,3.82,8,0
2025-01-30,M304,68.3,3.46,29,0
2025-01-30,M401,60.2,5.06,24,0
2025-01-30,M402,71.9,4.99,9,0
2025-01-30,M403,65.8,3.33,14,0
2025-01-30,M404,68.1,5.17,27,0
2025-01-31,M101,61.8,6.39,0,0
2025-01-31,M102,63.7,3.42,0,0
2025-01-31,M103,66.0,5.19,16,0
2025-01-31,M104,65.2,2.78,13,0
2025-01-31,M201,65.3,5.14,0,0
2025-01-31,M202,55.3,5.59,18,0
2025-01-31,M203,73.2,5.78,36,0
2025-01-31,M204,63.4,2.76,47,0
2025-01-31,M301,73.7,3.99,14,0
2025-01-31,M302,91.1,10.86,66,0
2025-01-31,M303,70.3,3.04,31,0
2025-01-31,M304,67.2,5.65,45,0
2025-01-31,M401,67.6,5.03,51,0
2025-01-31,M402,60.2,3.43,19,0
2025-01-31,M403,67.3,4.87,40,0
2025-01-31,M404,57.3,2.88,40,0
2025-02-01,M101,69.5,2.95,22,0
2025-02-01,M102,78.6,4.92,24,0
2025-02-01,M103,72.7,4.57,40,0
2025-02-01,M104,80.7,3.21,22,0
2025-02-01,M201,69.0,4.0,14,0
2025-02-01,M202,65.1,4.03,13,0
2025-02-01,M203,60.0,5.93,22,0
2025-02-01,M204,66.7,2.99,58,0
2025-02-01,M301,69.9,4.93,13,0
2025-02-01,M302,83.3,8.89,125,1
2025-02-01,M303,64.9,4.09,20,0
2025-02-01,M304,67.4,4.04,0,0
2025-02-01,M401,64.9,4.36,32,0
2025-02-01,M402,58.3,3.73,24,0
2025-02-01,M403,74.7,4.64,0,0
2025-02-01,M404,72.0,5.18,11,0
2025-02-02,M101,55.9,4.61,9,0
2025-02-02,M102,74.6,4.82,13,0
2025-02-02,M103,78.8,4.51,14,0
2025-02-02,M104,65.1,5.08,0,0
2025-02-02,M201,67.1,3.12,13,0
2025-02-02,M202,74.5,4.85,28,0
2025-02-02,M203,69.2,5.14,33,0
2025-02-02,M204,66.3,5.79,20,0
2025-02-02,M301,67.5,2.59,40,0
2025-02-02,M302,83.8,11.82,62,0
2025-02-02,M303,75.0,4.53,20,0
2025-02-02,M304,76.7,3.6,29,0
2025-02-02,M401,82.1,3.79,20,0
2025-02-02,M402,72.8,4.97,17,0
2025-02-02,M403,76.2,3.93,1,0
2025-02-02,M404,65.1,3.4,61,0
2025-02-03,M101,74.2,6.63,4,0
2025-02-03,M102,73.8,5.0,37,0
2025-02-03,M103,67.7,4.0,5,0
2025-02-03,M104,69.7,4.72,17,0
2025-02-03,M201,70.4,4.83,11,0
2025-02-03,M202,72.7,4.23,14,0
2025-02-03,M203,68.4,3.72,18,0
2025-02-03,M204,71.2,5.87,27,0
2025-02-03,M301,67.7,4.2,23,0
2025-02-03,M302,95.7,10.44,50,0
2025-02-03,M303,76.4,4.17,44,0
2025-02-03,M304,69.7,5.45,22,0
2025-02-03,M401,62.9,3.23,54,0
2025-02-03,M402,67.4,4.25,26,0
2025-02-03,M403,73.7,3.84,45,0
2025-02-03,M404,74.4,4.82,19,0
2025-02-04,M101,68.7,4.04,48,0
2025-02-04,M102,68.4,5.73,23,0
2025-02-04,M103,77.4,5.73,57,0
2025-02-04,M104,65.0,5.38,33,0
2025-02-04,M201,70.3,4.8,11,0
2025-02-04,M202,68.2,4.94,0,0
2025-02-04,M203,70.1,4.91,23,0
2025-02-04,M204,74.2,3.16,13,0
2025-02-04,M301,64.7,4.5,30,0
2025-02-04,M302,77.3,13.71,63,0
2025-02-04,M303,68.0,4.94,47,0
2025-02-04,M304,61.8,3.27,21,0
2025-02-04,M401,62.4,3.83,20,0
2025-02-04,M402,69.3,3.72,26,0
2025-02-04,M403,65.7,3.08,30,0
2025-02-04,M404,64.7,5.22,36,0
2025-02-05,M101,75.9,5.11,12,0
2025-02-05,M102,66.9,3.7,30,0
2025-02-05,M103,64.3,3.48,38,0
2025-02-05,M104,62.7,2.8,0,0
2025-02-05,M201,63.7,5.88,43,0
2025-02-05,M202,60.0,4.13,18,0
2025-02-05,M203,71.0,3.55,39,0
2025-02-05,M204,68.6,4.77,4,0
2025-02-05,M301,69.6,2.2,37,0
2025-02-05,M302,75.8,11.8,96,1
2025-02-05,M303,50.9,4.46,0,0
2025-02-05,M304,71.9,3.43,15,0
2025-02-05,M401,61.9,4.57,26,0
2025-02-05,M402,60.7,3.97,11,0
2025-02-05,M403,64.6,3.91,26,0
2025-02-05,M404,65.0,4.18,35,0
2025-02-06,M101,69.6,3.17,33,0
2025-02-06,M102,70.7,4.83,34,0
2025-02-06,M103,60.3,4.53,60,0
2025-02-06,M104,68.9,3.91,39,0
2025-02-06,M201,76.2,5.26,27,0
2025-02-06,M202,75.0,3.49,45,0
2025-02-06,M203,67.7,3.29,34,0
2025-02-06,M204,61.9,3.89,0,0
2025-02-06,M301,66.7,5.21,37,0
2025-02-06,M302,84.4,9.92,93,1
2025-02-06,M303,59.8,5.17,37,0
2025-02-06,M304,72.5,3.99,0,0
2025-02-06,M401,59.1,4.29,31,0
2025-02-06,M402,72.6,5.9,7,0
2025-02-06,M403,66.4,4.62,22,0
2025-02-06,M404,68.1,3.86,44,0
2025-02-07,M101,68.8,3.23,19,0
2025-02-07,M102,64.8,5.4,15,0
2025-02-07,M103,59.8,4.52,38,0
2025-02-07,M104,66.1,5.01,18,0
2025-02-07,M201,72.5,6.5,22,0
2025-02-07,M202,56.9,5.22,7,0
2025-02-07,M203,58.0,5.32,8,0
2025-02-07,M204,63.4,5.53,9,0
2025-02-07,M301,60.5,6.47,0,0
2025-02-07,M302,83.3,9.26,115,1
2025-02-07,M303,69.7,5.09,22,0
2025-02-07,M304,69.6,5.43,10,0
2025-02-07,M401,79.7,5.2,48,0
2025-02-07,M402,52.0,4.57,42,0
2025-02-07,M403,66.6,6.05,14,0
2025-02-07,M404,69.2,4.94,22,0
2025-02-08,M101,61.5,6.09,19,0
2025-02-08,M102,79.5,6.31,32,0
2025-02-08,M103,71.9,5.36,5,0
2025-02-08,M104,67.5,3.52,25,0
2025-02-08,M201,81.2,2.88,12,0
2025-02-08,M202,78.9,4.74,22,0
2025-02-08,M203,73.9,4.1,23,0
2025-02-08,M204,54.5,4.1,13,0
2025-02-08,M301,69.0,3.56,10,0
2025-02-08,M302,86.0,13.1,89,0
2025-02-08,M303,67.9,5.25,0,0
2025-02-08,M304,70.8,4.24,8,0
2025-02-08,M401,64.8,6.22,0,0
2025-02-08,M402,66.0,3.25,26,0
2025-02-08,M403,77.8,3.89,35,0
2025-02-08,M404,57.1,7.16,13,0
2025-02-09,M101,72.9,5.06,49,0
2025-02-09,M102,64.3,6.11,21,0
2025-02-09,M103,72.0,4.62,20,0
2025-02-09,M104,71.1,5.47,40,0
2025-02-09,M201,56.2,4.75,36,0
2025-02-09,M202,69.3,4.71,25,0
2025-02-09,M203,64.6,4.41,31,0
2025-02-09,M204,68.9,5.63,32,0
