Date,Material_ID,Stock_Qty,Daily_Consumption,Reorder_Level,Lead_Time_Days
2025-01-05,RM01,4219,87,964,15
2025-01-05,RM02,1106,179,809,19
2025-01-05,RM03,3881,176,1254,18
2025-01-05,RM04,2992,67,1323,21
2025-01-05,RM05,2138,67,1208,5
2025-01-05,RM06,2161,178,1078,18
2025-01-05,RM07,1527,111,1016,18
2025-01-05,RM08,760,110,1124,38
2025-01-05,RM09,3290,161,1172,24
2025-01-05,RM10,4246,169,948,10
2025-01-05,RM11,4534,78,1472,22
2025-01-05,RM12,4630,79,1111,13
2025-01-06,RM01,4300,97,1490,17
2025-01-06,RM02,2443,59,961,21
2025-01-06,RM03,3719,64,1408,20
2025-01-06,RM04,2870,67,1370,18
2025-01-06,RM05,3988,173,889,19
2025-01-06,RM06,3834,68,1331,13
2025-01-06,RM07,1513,157,853,13
2025-01-06,RM08,792,88,1400,37
2025-01-06,RM09,2320,101,948,18
2025-01-06,RM10,1705,57,1477,21
2025-01-06,RM11,1870,164,1415,24
2025-01-06,RM12,4683,68,1017,5
2025-01-07,RM01,2935,88,843,20
2025-01-07,RM02,4055,112,1351,20
2025-01-07,RM03,3956,173,1153,17
2025-01-07,RM04,1053,160,1183,24
2025-01-07,RM05,2218,149,1268,19
2025-01-07,RM06,706,94,1292,12
2025-01-07,RM07,2971,71,1104,24
2025-01-07,RM08,442,131,800,49
2025-01-07,RM09,3308,53,1363,12
2025-01-07,RM10,2072,146,837,11
2025-01-07,RM11,1342,159,1301,14
2025-01-07,RM12,1416,69,884,16
2025-01-08,RM01,4922,182,1369,22
2025-01-08,RM02,2007,63,1046,20
2025-01-08,RM03,1804,125,1317,10
2025-01-08,RM04,1027,146,839,12
2025-01-08,RM05,3004,164,1074,11
2025-01-08,RM06,3320,164,1460,16
2025-01-08,RM07,3736,113,1383,18
2025-01-08,RM08,748,196,933,37
2025-01-08,RM09,4569,179,1080,15
2025-01-08,RM10,4767,175,1251,10
2025-01-08,RM11,3521,127,1262,23
2025-01-08,RM12,2023,168,1486,10
2025-01-09,RM01,927,88,1061,7
2025-01-09,RM02,3575,140,1426,19
2025-01-09,RM03,3077,148,1010,20
2025-01-09,RM04,2515,80,873,20
2025-01-09,RM05,2145,80,1274,15
2025-01-09,RM06,751,166,913,22
2025-01-09,RM07,3910,63,1340,15
2025-01-09,RM08,250,162,1204,41
2025-01-09,RM09,1059,133,966,11
2025-01-09,RM10,2858,191,905,9
2025-01-09,RM11,4006,120,1137,23
2025-01-09,RM12,2468,116,1122,22
2025-01-10,RM01,3312,91,1450,14
2025-01-10,RM02,4304,121,1078,9
2025-01-10,RM03,4087,101,1434,16
2025-01-10,RM04,4167,199,936,25
2025-01-10,RM05,776,122,1330,7
2025-01-10,RM06,1713,92,1003,24
2025-01-10,RM07,4458,96,1175,24
2025-01-10,RM08,620,52,1188,45
2025-01-10,RM09,3919,80,887,5
2025-01-10,RM10,3793,136,1338,16
2025-01-10,RM11,3766,74,883,16
2025-01-10,RM12,3336,110,1131,5
2025-01-11,RM01,3483,191,905,16
2025-01-11,RM02,4955,63,1225,6
2025-01-11,RM03,3775,57,1164,25
2025-01-11,RM04,3968,172,1474,20
2025-01-11,RM05,2021,76,992,25
2025-01-11,RM06,4074,60,1350,5
2025-01-11,RM07,2739,188,835,11
2025-01-11,RM08,1199,109,1305,42
2025-01-11,RM09,4838,112,1232,9
2025-01-11,RM10,1434,177,1478,5
2025-01-11,RM11,4819,93,866,19
2025-01-11,RM12,1315,100,1485,17
2025-01-12,RM01,554,78,1242,24
2025-01-12,RM02,3207,157,1356,7
2025-01-12,RM03,843,119,1293,5
2025-01-12,RM04,2008,133,1003,8
2025-01-12,RM05,3207,58,820,20
2025-01-12,RM06,2201,180,1260,15
2025-01-12,RM07,1158,65,990,20
2025-01-12,RM08,876,133,1476,46
2025-01-12,RM09,3488,77,1356,5
2025-01-12,RM10,4195,198,812,21
2025-01-12,RM11,966,133,991,25
2025-01-12,RM12,2658,107,934,9
2025-01-13,RM01,3410,117,1006,16
2025-01-13,RM02,2112,93,1015,13
2025-01-13,RM03,1926,71,977,25
2025-01-13,RM04,2976,51,944,11
2025-01-13,RM05,3211,101,1052,21
2025-01-13,RM06,635,152,1444,11
2025-01-13,RM07,1098,84,943,12
2025-01-13,RM08,951,115,1464,35
2025-01-13,RM09,4461,117,1105,25
2025-01-13,RM10,4567,108,812,25
2025-01-13,RM11,4706,80,831,8
2025-01-13,RM12,4144,192,813,25
2025-01-14,RM01,4497,147,1292,18
2025-01-14,RM02,4822,136,1011,14
2025-01-14,RM03,2122,98,1048,14
2025-01-14,RM04,3372,181,1104,19
2025-01-14,RM05,2294,60,871,19
2025-01-14,RM06,1102,61,1003,21
2025-01-14,RM07,2120,71,1009,17
2025-01-14,RM08,692,56,1231,45
2025-01-14,RM09,679,65,1025,15
2025-01-14,RM10,2493,74,915,16
2025-01-14,RM11,3736,172,1369,12
2025-01-14,RM12,2856,165,1440,16
2025-01-15,RM01,2424,93,1159,18
2025-01-15,RM02,2475,112,1073,5
2025-01-15,RM03,1529,50,972,18
2025-01-15,RM04,4108,97,931,12
2025-01-15,RM05,3788,83,1261,24
2025-01-15,RM06,1605,182,1275,25
2025-01-15,RM07,713,97,1418,9
2025-01-15,RM08,216,134,883,50
2025-01-15,RM09,1071,97,1382,5
2025-01-15,RM10,2442,117,811,24
2025-01-15,RM11,3882,157,1279,16
2025-01-15,RM12,3435,147,1081,25
2025-01-16,RM01,3407,184,1475,24
2025-01-16,RM02,1249,66,1015,19
2025-01-16,RM03,808,91,1407,12
2025-01-16,RM04,1688,124,1105,22
2025-01-16,RM05,1923,77,1017,10
2025-01-16,RM06,4963,102,1022,14
2025-01-16,RM07,1546,112,1035,7
2025-01-16,RM08,862,124,969,36
2025-01-16,RM09,3210,50,994,17
2025-01-16,RM10,736,100,1498,9
2025-01-16,RM11,514,136,1315,23
2025-01-16,RM12,4517,96,827,25
2025-01-17,RM01,1890,165,1164,5
2025-01-17,RM02,1754,55,976,6
2025-01-17,RM03,3167,150,1408,16
2025-01-17,RM04,2235,180,1242,7
2025-01-17,RM05,557,91,1028,18
2025-01-17,RM06,1459,111,1339,13
2025-01-17,RM07,4431,127,1036,14
2025-01-17,RM08,207,108,1160,46
2025-01-17,RM09,3938,174,1223,9
2025-01-17,RM10,2435,58,1400,5
2025-01-17,RM11,4515,108,1449,17
2025-01-17,RM12,2027,85,1268,15
2025-01-18,RM01,2500,162,1195,24
2025-01-18,RM02,4479,190,1361,13
2025-01-18,RM03,1226,198,896,12
2025-01-18,RM04,2746,52,1036,9
2025-01-18,RM05,4587,150,1430,16
2025-01-18,RM06,3040,129,1054,7
2025-01-18,RM07,1072,57,904,14
2025-01-18,RM08,740,193,1116,50
2025-01-18,RM09,1825,144,1046,24
2025-01-18,RM10,2155,76,1326,19
2025-01-18,RM11,2593,187,1088,10
2025-01-18,RM12,597,186,1318,22
2025-01-19,RM01,3505,106,1313,18
2025-01-19,RM02,566,189,1143,10
2025-01-19,RM03,1717,88,852,7
2025-01-19,RM04,900,73,1213,14
2025-01-19,RM05,2686,142,895,22
2025-01-19,RM06,3513,195,1215,16
2025-01-19,RM07,2643,172,832,22
2025-01-19,RM08,1153,182,1274,38
2025-01-19,RM09,622,143,841,12
2025-01-19,RM10,4989,190,1329,22
2025-01-19,RM11,2789,109,1483,10
2025-01-19,RM12,3471,117,808,24
2025-01-20,RM01,1607,155,1389,7
2025-01-20,RM02,4929,158,1365,6
2025-01-20,RM03,1068,137,1442,12
2025-01-20,RM04,3691,148,949,11
2025-01-20,RM05,1670,123,1243,13
2025-01-20,RM06,2004,135,1172,18
2025-01-20,RM07,3871,143,1481,8
2025-01-20,RM08,331,136,1475,42
2025-01-20,RM09,3320,172,935,7
2025-01-20,RM10,4279,190,1103,13
2025-01-20,RM11,4230,97,1278,24
2025-01-20,RM12,851,198,1413,16
2025-01-21,RM01,2674,146,900,13
2025-01-21,RM02,4184,130,1031,12
2025-01-21,RM03,3788,157,1312,6
2025-01-21,RM04,2850,177,1497,14
2025-01-21,RM05,522,175,1114,18
2025-01-21,RM06,538,66,1500,24
2025-01-21,RM07,1785,57,957,17
2025-01-21,RM08,1138,55,1258,36
2025-01-21,RM09,1032,56,1239,8
2025-01-21,RM10,2927,63,948,21
2025-01-21,RM11,2092,141,1489,9
2025-01-21,RM12,4664,194,1436,17
2025-01-22,RM01,4677,65,1355,5
2025-01-22,RM02,4886,122,1337,8
2025-01-22,RM03,2963,129,1196,22
2025-01-22,RM04,3194,68,869,13
2025-01-22,RM05,1976,94,947,13
2025-01-22,RM06,3868,158,1435,6
2025-01-22,RM07,1174,192,985,12
2025-01-22,RM08,928,130,947,40
2025-01-22,RM09,1134,155,1240,22
2025-01-22,RM10,4132,86,1016,21
2025-01-22,RM11,3830,132,1240,20
2025-01-22,RM12,4220,144,1398,18
2025-01-23,RM01,2881,151,1029,22
2025-01-23,RM02,4185,170,1456,22
2025-01-23,RM03,4836,135,1403,16
2025-01-23,RM04,4142,70,1334,8
2025-01-23,RM05,4443,122,1331,9
2025-01-23,RM06,1431,163,818,21
2025-01-23,RM07,4050,105,1289,11
2025-01-23,RM08,467,89,1221,49
2025-01-23,RM09,4127,92,1194,11
2025-01-23,RM10,4750,109,1226,8
2025-01-23,RM11,1037,106,1208,15
2025-01-23,RM12,3027,173,1201,6
2025-01-24,RM01,1592,95,1488,6
2025-01-24,RM02,4912,57,1293,9
2025-01-24,RM03,3018,200,1129,25
2025-01-24,RM04,3847,121,891,10
2025-01-24,RM05,2514,121,1151,9
2025-01-24,RM06,1389,111,1493,9
2025-01-24,RM07,1097,71,1076,14
2025-01-24,RM08,1031,183,951,46
2025-01-24,RM09,3307,137,920,13
2025-01-24,RM10,2556,128,1023,12
2025-01-24,RM11,4938,138,862,9
2025-01-24,RM12,963,147,1488,21
2025-01-25,RM01,1539,139,870,6
2025-01-25,RM02,991,114,876,11
2025-01-25,RM03,3447,127,1435,23
2025-01-25,RM04,1621,98,1089,22
2025-01-25,RM05,2821,182,1052,9
2025-01-25,RM06,3388,163,862,9
2025-01-25,RM07,3934,164,1293,5
2025-01-25,RM08,814,151,1098,50
2025-01-25,RM09,1669,151,1427,12
2025-01-25,RM10,1375,61,1040,20
2025-01-25,RM11,1578,94,986,14
2025-01-25,RM12,2357,67,1270,14
2025-01-26,RM01,4244,88,881,23
2025-01-26,RM02,1362,65,836,19
2025-01-26,RM03,3491,123,1121,10
2025-01-26,RM04,3722,56,896,5
2025-01-26,RM05,1804,80,1292,20
2025-01-26,RM06,1892,194,1488,6
2025-01-26,RM07,4907,54,960,14
2025-01-26,RM08,858,100,893,43
2025-01-26,RM09,3378,79,894,10
2025-01-26,RM10,4512,170,1335,8
2025-01-26,RM11,3912,138,1468,10
2025-01-26,RM12,3794,144,1217,7
2025-01-27,RM01,2472,192,1355,18
2025-01-27,RM02,3765,148,1450,13
2025-01-27,RM03,3269,54,1091,25
2025-01-27,RM04,3154,197,1196,17
2025-01-27,RM05,543,90,1330,18
2025-01-27,RM06,3369,148,1446,12
2025-01-27,RM07,4496,93,1372,14
2025-01-27,RM08,1181,69,875,50
2025-01-27,RM09,2152,109,1159,18
2025-01-27,RM10,2866,80,1038,11
2025-01-27,RM11,2495,73,944,8
2025-01-27,RM12,4506,161,1092,6
2025-01-28,RM01,3121,172,1341,14
2025-01-28,RM02,2177,195,820,23
2025-01-28,RM03,2786,171,1421,23
2025-01-28,RM04,1232,111,840,5
2025-01-28,RM05,2218,171,1401,12
2025-01-28,RM06,1447,68,1325,17
2025-01-28,RM07,3243,91,1430,5
2025-01-28,RM08,649,159,1063,36
2025-01-28,RM09,2814,103,830,5
2025-01-28,RM10,3123,162,1235,20
2025-01-28,RM11,1211,53,1192,14
2025-01-28,RM12,1757,55,844,17
2025-01-29,RM01,3319,89,1371,14
2025-01-29,RM02,3893,138,1300,11
2025-01-29,RM03,2800,192,1315,6
2025-01-29,RM04,3263,163,1114,8
2025-01-29,RM05,2675,124,876,14
2025-01-29,RM06,2494,189,932,21
2025-01-29,RM07,3088,96,1051,22
2025-01-29,RM08,348,108,1270,47
2025-01-29,RM09,2184,187,860,12
2025-01-29,RM10,3640,176,1290,8
2025-01-29,RM11,4698,61,1089,23
2025-01-29,RM12,2210,72,854,22
2025-01-30,RM01,584,105,910,17
2025-01-30,RM02,521,140,828,15
2025-01-30,RM03,4281,81,1061,17
2025-01-30,RM04,538,181,1239,13
2025-01-30,RM05,4645,78,1475,19
2025-01-30,RM06,4052,65,1292,24
2025-01-30,RM07,2477,192,949,12
2025-01-30,RM08,814,63,847,40
2025-01-30,RM09,1381,121,1417,8
2025-01-30,RM10,4805,85,919,24
2025-01-30,RM11,3628,139,823,22
2025-01-30,RM12,4691,121,1273,24
2025-01-31,RM01,2080,183,1456,24
2025-01-31,RM02,2300,115,1200,17
2025-01-31,RM03,591,157,1449,25
2025-01-31,RM04,1425,159,836,5
2025-01-31,RM05,2309,183,958,12
2025-01-31,RM06,1709,191,1446,11
2025-01-31,RM07,1858,111,1182,10
2025-01-31,RM08,524,177,939,45
2025-01-31,RM09,4309,135,1426,6
2025-01-31,RM10,1581,131,828,25
2025-01-31,RM11,1029,187,1254,22
2025-01-31,RM12,1742,154,1431,6
2025-02-01,RM01,3788,162,1308,16
2025-02-01,RM02,3827,169,1359,20
2025-02-01,RM03,4632,81,994,20
2025-02-01,RM04,581,115,1314,21
2025-02-01,RM05,2227,177,934,24
2025-02-01,RM06,512,150,1235,6
2025-02-01,RM07,2242,135,1237,9
2025-02-01,RM08,753,140,1249,47
2025-02-01,RM09,3040,200,1048,21
2025-02-01,RM10,3782,54,1241,19
2025-02-01,RM11,1037,176,1166,23
2025-02-01,RM12,567,105,1336,5
2025-02-02,RM01,1129,64,1063,14
2025-02-02,RM02,2179,188,802,22
2025-02-02,RM03,1223,102,871,16
2025-02-02,RM04,3393,52,1169,5
2025-02-02,RM05,4865,144,1486,11
2025-02-02,RM06,2058,188,1128,14
2025-02-02,RM07,2902,134,1136,10
2025-02-02,RM08,482,163,1333,37
2025-02-02,RM09,2970,165,1199,11
2025-02-02,RM10,730,183,1002,8
2025-02-02,RM11,2031,172,1495,16
2025-02-02,RM12,4690,148,1410,8
2025-02-03,RM01,3408,143,953,12
2025-02-03,RM02,2638,98,1237,18
2025-02-03,RM03,923,97,1135,13
2025-02-03,RM04,674,51,870,13
2025-02-03,RM05,2480,130,1373,23
2025-02-03,RM06,4674,180,1097,7
2025-02-03,RM07,2432,121,1114,10
2025-02-03,RM08,928,109,1119,44
2025-02-03,RM09,1999,140,1445,15
2025-02-03,RM10,1118,89,1370,10
2025-02-03,RM11,3800,135,945,23
2025-02-03,RM12,2319,178,964,25
2025-02-04,RM01,1344,161,957,6
2025-02-04,RM02,4912,191,1154,17
2025-02-04,RM03,1610,60,840,8
2025-02-04,RM04,4244,136,1410,12
2025-02-04,RM05,765,101,987,7
2025-02-04,RM06,3385,55,1461,19
2025-02-04,RM07,2992,71,1065,14
2025-02-04,RM08,352,103,818,43
2025-02-04,RM09,2001,133,1316,15
2025-02-04,RM10,4777,143,1133,22
2025-02-04,RM11,4135,106,1420,11
2025-02-04,RM12,4500,93,1455,13
2025-02-05,RM01,3765,189,1167,5
2025-02-05,RM02,3407,84,1479,6
2025-02-05,RM03,3721,145,1400,10
2025-02-05,RM04,1396,110,1124,13
2025-02-05,RM05,2283,142,1409,23
2025-02-05,RM06,3109,81,1276,18
2025-02-05,RM07,1824,170,863,5
2025-02-05,RM08,919,192,1315,50
2025-02-05,RM09,2166,99,1198,20
2025-02-05,RM10,2303,74,1153,6
2025-02-05,RM11,2000,173,1005,20
2025-02-05,RM12,4334,188,895,14
2025-02-06,RM01,1506,127,1081,22
2025-02-06,RM02,4975,186,1393,20
2025-02-06,RM03,638,88,1388,16
2025-02-06,RM04,1325,122,1096,22
2025-02-06,RM05,911,55,862,23
2025-02-06,RM06,1875,132,1328,15
2025-02-06,RM07,4243,89,1131,21
2025-02-06,RM08,1199,104,822,38
2025-02-06,RM09,1968,57,1037,10
2025-02-06,RM10,4208,138,1108,12
2025-02-06,RM11,845,109,1005,16
2025-02-06,RM12,2570,74,1227,5
2025-02-07,RM01,2776,189,1169,19
2025-02-07,RM02,998,58,1439,18
2025-02-07,RM03,2374,177,870,11
2025-02-07,RM04,4892,140,1317,17
2025-02-07,RM05,3117,55,933,7
2025-02-07,RM06,1070,152,1130,14
2025-02-07,RM07,2631,76,1377,22
2025-02-07,RM08,1189,55,1200,40
2025-02-07,RM09,1049,93,1500,16
2025-02-07,RM10,3092,70,1414,5
2025-02-07,RM11,1147,173,1416,19
2025-02-07,RM12,4679,194,1121,19
2025-02-08,RM01,671,169,1455,14
2025-02-08,RM02,759,152,987,5
2025-02-08,RM03,1650,61,877,15
2025-02-08,RM04,4199,135,1425,20
2025-02-08,RM05,1136,122,1359,19
2025-02-08,RM06,805,95,1003,24
2025-02-08,RM07,2310,54,1115,18
2025-02-08,RM08,218,54,1229,49
2025-02-08,RM09,4048,141,1304,6
2025-02-08,RM10,3614,82,1283,15
2025-02-08,RM11,2185,192,1052,23
2025-02-08,RM12,1078,90,1133,8
2025-02-09,RM01,4624,85,887,10
2025-02-09,RM02,4722,187,1259,24
2025-02-09,RM03,569,160,959,8
2025-02-09,RM04,2884,118,1152,13
2025-02-09,RM05,1077,155,884,17
2025-02-09,RM06,2262,53,1049,20
2025-02-09,RM07,2643,188,1485,5
2025-02-09,RM08,686,107,924,45
2025-02-09,RM09,3102,85,1440,6
2025-02-09,RM10,4230,124,1047,25
2025-02-09,RM11,2497,79,1376,24
2025-02-09,RM12,1329,140,1084,17
2025-02-10,RM01,3080,121,1352,23
2025-02-10,RM02,694,84,856,18
2025-02-10,RM03,3090,176,1428,9
2025-02-10,RM04,3239,151,860,21
2025-02-10,RM05,4179,140,862,10
2025-02-10,RM06,2056,106,822,11
2025-02-10,RM07,1715,156,1360,6
2025-02-10,RM08,213,104,1322,45
2025-02-10,RM09,2814,91,1369,15
2025-02-10,RM10,1413,114,1386,11
2025-02-10,RM11,4337,131,1257,21
2025-02-10,RM12,3111,107,948,9
2025-02-11,RM01,3590,71,833,17
2025-02-11,RM02,2218,89,915,22
2025-02-11,RM03,1474,155,977,21
2025-02-11,RM04,561,61,1488,15
2025-02-11,RM05,1550,131,867,16
2025-02-11,RM06,2484,194,1444,6
2025-02-11,RM07,3712,126,984,10
2025-02-11,RM08,858,175,816,50
2025-02-11,RM09,4390,105,1098,5
2025-02-11,RM10,3267,94,873,17
2025-02-11,RM11,3416,134,939,16
2025-02-11,RM12,4473,89,912,13
2025-02-12,RM01,3771,76,1398,23
2025-02-12,RM02,3422,140,1380,20
2025-02-12,RM03,2994,195,815,8
2025-02-12,RM04,2555,117,1388,15
2025-02-12,RM05,902,132,1108,18
2025-02-12,RM06,4570,87,1423,21
2025-02-12,RM07,1702,64,1471,14
2025-02-12,RM08,596,153,875,48
2025-02-12,RM09,1384,163,858,21
2025-02-12,RM10,609,118,1427,19
2025-02-12,RM11,603,156,893,5
2025-02-12,RM12,823,58,994,9
2025-02-13,RM01,1441,144,1242,16
2025-02-13,RM02,4306,131,990,19
2025-02-13,RM03,1443,100,1176,18
2025-02-13,RM04,1788,115,1086,25
2025-02-13,RM05,2967,57,1261,16
2025-02-13,RM06,4059,128,1267,15
2025-02-13,RM07,4824,197,899,21
2025-02-13,RM08,838,187,1398,42
2025-02-13,RM09,4319,142,1497,20
2025-02-13,RM10,1462,84,1126,14
2025-02-13,RM11,4597,177,1102,5
2025-02-13,RM12,1688,79,965,10
2025-02-14,RM01,510,170,1018,11
2025-02-14,RM02,3887,52,908,5
2025-02-14,RM03,2973,97,1047,15
2025-02-14,RM04,1948,83,1438,12
2025-02-14,RM05,1394,84,1452,14
2025-02-14,RM06,777,75,1299,13
2025-02-14,RM07,2238,133,1024,23
2025-02-14,RM08,396,173,872,35
2025-02-14,RM09,4682,155,1241,14
2025-02-14,RM10,595,56,1049,24
2025-02-14,RM11,3206,118,1411,8
2025-02-14,RM12,916,103,1023,25
2025-02-15,RM01,2405,113,1382,8
2025-02-15,RM02,2098,59,1164,17
2025-02-15,RM03,4376,63,1495,9
2025-02-15,RM04,4191,72,872,11
2025-02-15,RM05,3459,175,1222,18
2025-02-15,RM06,1934,178,1237,12
2025-02-15,RM07,3440,83,1214,22
2025-02-15,RM08,1006,146,879,38
2025-02-15,RM09,4627,98,835,6
2025-02-15,RM10,2262,162,1394,21
2025-02-15,RM11,2748,151,1016,10
2025-02-15,RM12,2815,140,1101,5
2025-02-16,RM01,4539,145,874,16
2025-02-16,RM02,3225,183,1030,17
2025-02-16,RM03,1782,198,873,10
2025-02-16,RM04,4984,91,1319,7
2025-02-16,RM05,556,67,1377,24
2025-02-16,RM06,1192,170,829,19
2025-02-16,RM07,1156,184,991,23
2025-02-16,RM08,861,166,1404,38
2025-02-16,RM09,3252,177,1331,17
2025-02-16,RM10,3199,193,1248,25
2025-02-16,RM11,3750,81,958,18
2025-02-16,RM12,1157,175,1089,19
2025-02-17,RM01,2615,77,1153,14
2025-02-17,RM02,3593,165,1092,16
2025-02-17,RM03,2255,135,1414,20
2025-02-17,RM04,4824,125,1345,10
2025-02-17,RM05,1111,87,1351,11
2025-02-17,RM06,1453,53,897,21
2025-02-17,RM07,1982,143,1160,24
2025-02-17,RM08,883,131,1258,43
2025-02-17,RM09,2050,92,1199,15
2025-02-17,RM10,2659,164,910,6
2025-02-17,RM11,2995,196,885,25
2025-02-17,RM12,2119,60,1071,8
2025-02-18,RM01,4033,86,1310,16
2025-02-18,RM02,3048,117,1164,6
2025-02-18,RM03,4037,132,1086,13
2025-02-18,RM04,2228,95,1388,7
2025-02-18,RM05,960,185,980,12
2025-02-18,RM06,3959,75,956,15
2025-02-18,RM07,2591,97,1386,19
2025-02-18,RM08,989,99,1260,42
2025-02-18,RM09,766,58,1413,25
2025-02-18,RM10,3357,67,1023,8
2025-02-18,RM11,1180,87,959,10
2025-02-18,RM12,4105,75,1159,18
2025-02-19,RM01,2584,138,886,9
2025-02-19,RM02,1213,171,1103,22
2025-02-19,RM03,1984,111,922,10
2025-02-19,RM04,3189,105,889,21
2025-02-19,RM05,2277,173,1159,10
2025-02-19,RM06,4521,101,1098,5
2025-02-19,RM07,735,163,920,24
2025-02-19,RM08,474,128,1034,46
2025-02-19,RM09,3792,162,1468,9
2025-02-19,RM10,2684,77,1374,21
2025-02-19,RM11,4305,79,1290,11
2025-02-19,RM12,3074,172,1242,9
2025-02-20,RM01,2880,180,1059,10
2025-02-20,RM02,3696,131,927,22
2025-02-20,RM03,1753,66,1299,17
2025-02-20,RM04,3384,152,1414,22
2025-02-20,RM05,1717,122,964,19
2025-02-20,RM06,909,63,1029,25
2025-02-20,RM07,1479,81,842,17
2025-02-20,RM08,283,77,903,38
2025-02-20,RM09,4513,126,820,6
2025-02-20,RM10,2873,189,1471,20
2025-02-20,RM11,4345,171,1106,12
2025-02-20,RM12,4681,145,938,6
2025-02-21,RM01,1466,50,931,19
2025-02-21,RM02,880,111,1378,20
2025-02-21,RM03,4457,70,1226,6
2025-02-21,RM04,2363,158,932,8
2025-02-21,RM05,3084,66,853,21
2025-02-21,RM06,4198,78,1395,20
2025-02-21,RM07,3740,161,1301,20
2025-02-21,RM08,902,148,852,47
2025-02-21,RM09,3818,190,1146,13
2025-02-21,RM10,5000,188,1468,21
2025-02-21,RM11,2850,129,1072,25
2025-02-21,RM12,1615,137,859,14
2025-02-22,RM01,2732,179,1323,24
2025-02-22,RM02,3809,140,1027,14
2025-02-22,RM03,4612,193,1099,18
2025-02-22,RM04,3090,94,1226,8
2025-02-22,RM05,3202,176,1225,10
2025-02-22,RM06,3953,110,911,19
2025-02-22,RM07,3310,94,1123,16
2025-02-22,RM08,911,188,1017,49
2025-02-22,RM09,1995,70,954,7
2025-02-22,RM10,3611,77,1366,22
2025-02-22,RM11,3878,144,824,21
2025-02-22,RM12,3701,126,1133,11
2025-02-23,RM01,4819,156,1404,15
2025-02-23,RM02,4527,66,801,20
2025-02-23,RM03,2866,146,1316,16
2025-02-23,RM04,2003,110,1109,18
2025-02-23,RM05,1946,96,1010,14
2025-02-23,RM06,3445,97,1343,24
2025-02-23,RM07,4759,171,811,25
2025-02-23,RM08,338,71,1014,46
2025-02-23,RM09,3730,171,980,10
2025-02-23,RM10,3182,153,920,22
2025-02-23,RM11,4651,75,866,10
2025-02-23,RM12,2605,190,1079,5
2025-02-24,RM01,4608,116,958,19
2025-02-24,RM02,3882,138,1447,8
2025-02-24,RM03,3052,79,974,19
2025-02-24,RM04,1061,82,1283,17
2025-02-24,RM05,3565,99,1046,19
2025-02-24,RM06,2007,56,1230,6
2025-02-24,RM07,1279,107,1245,8
2025-02-24,RM08,828,122,1352,50
2025-02-24,RM09,580,99,1036,10
2025-02-24,RM10,3438,111,1126,10
2025-02-24,RM11,4731,114,1497,25
2025-02-24,RM12,3561,160,1041,24
2025-02-25,RM01,2257,182,1115,25
2025-02-25,RM02,3705,165,1095,6
2025-02-25,RM03,1079,183,926,17
2025-02-25,RM04,3095,132,1246,15
2025-02-25,RM05,1334,159,852,11
2025-02-25,RM06,3046,132,919,20
2025-02-25,RM07,555,97,1075,14
2025-02-25,RM08,1184,150,1183,43
2025-02-25,RM09,4742,198,1014,23
2025-02-25,RM10,2139,136,1288,12
2025-02-25,RM11,1257,160,1360,19
2025-02-25,RM12,3450,179,1077,11
2025-02-26,RM01,2714,183,1076,5
2025-02-26,RM02,4204,87,1280,19
2025-02-26,RM03,4209,180,824,9
2025-02-26,RM04,1637,167,875,20
2025-02-26,RM05,2932,56,1500,5
